year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2015,Deadwood,Boreal wet forest,60.44543387739029
2015,Deadwood,Cool temperate moist forest,58.907439815598636
2015,Deadwood,Cool temperate steppe,57.88896335053281
2015,Deadwood,Cool temperate wet forest,58.641323171949416
2015,Deadwood,Polar rain tundra,62.40156783270707
2015,Litter,Boreal wet forest,17.763744375564222
2015,Litter,Cool temperate moist forest,16.975097449560447
2015,Litter,Cool temperate steppe,16.421094183664646
2015,Litter,Cool temperate wet forest,16.85474674092171
2015,Litter,Polar rain tundra,18.71267674667937
2015,Soil Carbon,Boreal wet forest,65.8502500720393
2015,Soil Carbon,Cool temperate moist forest,64.60644040320845
2015,Soil Carbon,Cool temperate steppe,63.69244731171297
2015,Soil Carbon,Cool temperate wet forest,64.43441109636422
2015,Soil Carbon,Polar rain tundra,67.28197013078548
2015,Total Biomass,Boreal wet forest,23.257593691960036
2015,Total Biomass,Cool temperate moist forest,23.25759369196239
2015,Total Biomass,Cool temperate steppe,23.25759369196129
2015,Total Biomass,Cool temperate wet forest,23.257593691961205
2015,Total Biomass,Polar rain tundra,23.257593691961425
