year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2020,Deadwood,Boreal wet forest,51.97801680976807
2020,Deadwood,Cool temperate moist forest,50.23813164916248
2020,Deadwood,Cool temperate steppe,49.07798862980726
2020,Deadwood,Cool temperate wet forest,49.941127771162144
2020,Deadwood,Polar rain tundra,54.1773266314185
2020,Litter,Boreal wet forest,19.162132656148984
2020,Litter,Cool temperate moist forest,18.17520569034621
2020,Litter,Cool temperate steppe,17.497160550850165
2020,Litter,Cool temperate wet forest,18.01859461397586
2020,Litter,Polar rain tundra,20.37354137103164
2020,Soil Carbon,Boreal wet forest,65.76083322813157
2020,Soil Carbon,Cool temperate moist forest,64.53084940708973
2020,Soil Carbon,Cool temperate steppe,63.62334120081604
2020,Soil Carbon,Cool temperate wet forest,64.36231220585685
2020,Soil Carbon,Polar rain tundra,67.17068832531871
2020,Total Biomass,Boreal wet forest,31.73040007648649
2020,Total Biomass,Cool temperate moist forest,31.73040007649032
2020,Total Biomass,Cool temperate steppe,31.73040007648949
2020,Total Biomass,Cool temperate wet forest,31.730400076489836
2020,Total Biomass,Polar rain tundra,31.730400076489524
